"species","trt","doy","stm.length_cm","flowers_g","gr.leaves_g","dead.leaves_g","stm_g","crown_g","agb_g","main.roots_g","adv.roots_g","moment"
"A","ctrl",155,31.6225,0,0.4419,0,0.66582,0.09348,1.10772,0.25578,0,"pre-flooding"
"A","ctrl",155,30.7125,0,0.36354,0,0.60492,0.16254,0.96846,0.26946,0,"pre-flooding"
"A","ctrl",155,25.1766666666667,0,0.33702,0,0.58734,0.11454,0.92436,0.2577,0,"pre-flooding"
"A","ctrl",155,20.7783333333333,0,0.1956800004,0,0.22164,0.0471999996,0.4173200004,0.1819599996,0,"pre-flooding"
"A","ctrl",155,27.1483333333333,0,0.32412,0,0.45036,0.09588,0.77448,0.27312,0,"pre-flooding"
"A","ctrl",155,31.0916666666667,0,0.30384,0,0.50862,0.0591,0.81246,0.13722,0,"pre-flooding"
"A","ctrl",155,34.8833333333333,0,0.41826,0,0.75834,0.2094,1.1766,0.27282,0,"pre-flooding"
"A","ctrl",155,25.7075,0,0.30918,0,0.51822,0.06792,0.8274,0.23772,0,"pre-flooding"
"A","ctrl",155,28.0583333333333,0,0.5421,0,0.7482,0.26538,1.2903,0.38436,0,"pre-flooding"
"A","ctrl",155,27.5527777767667,0,0.3294399996,0,0.5196,0.11748,0.8490399996,0.2606000004,0,"pre-flooding"
"A","ctrl",155,27.5527777798,0,0.2885600004,0,0.4458,0.09408,0.7343600004,0.1700799996,0,"pre-flooding"
"A","ctrl",155,20.7025,0,0.34026,0,0.45666,0.21108,0.79692,0.29136,0,"pre-flooding"
"B","ctrl",155,19.7925,0,0.2697,0,0.3111,0.06798,0.5808,0.21474,0,"pre-flooding"
"B","ctrl",155,23.66,0,0.36684,0,0.50646,0.07788,0.8733,0.34152,0,"pre-flooding"
"B","ctrl",155,22.4466666666667,0,0.44592,0,0.56136,0.10116,1.00728,0.3849,0,"pre-flooding"
"B","ctrl",155,23.2808333333333,0,0.46242,0,0.53538,0.10026,0.9978,0.38106,0,"pre-flooding"
"B","ctrl",155,27.3,0,0.58212,0,1.01664,0.15294,1.59876,0.57672,0,"pre-flooding"
"B","ctrl",155,24.57,0,0.33144,0,0.31818,0.07866,0.64962,0.24738,0,"pre-flooding"
"B","ctrl",155,26.3141666666667,0.0396,0.45786,0,0.66576,0.09264,1.16322,0.41646,0,"pre-flooding"
"B","ctrl",155,17.6691666666667,0,0.30396,0,0.31092,0.07704,0.61488,0.21504,0,"pre-flooding"
"B","ctrl",155,24.1908333333333,0,0.2508,0,0.28374,0.0672,0.53454,0.1536,0,"pre-flooding"
"B","ctrl",155,20.475,0,0.31008,0,0.408,0.08748,0.71808,0.46668,0,"pre-flooding"
"B","ctrl",155,24.1908333333333,0,0.39246,0,0.54378,0.15144,0.93624,0.27822,0,"pre-flooding"
"B","ctrl",155,19.6408333333333,0,0.26754,0,0.2853,0.07206,0.55284,0.1431,0,"pre-flooding"
"C","ctrl",155,17.29,0,0.26352,0.00936,0.31788,0.04338,0.59076,0.30588,0,"pre-flooding"
"C","ctrl",155,17.8966666666667,0,0.35094,0.03912,0.53262,0.0795,0.92268,0.29982,0,"pre-flooding"
"C","ctrl",155,33.5941666666667,0,0.1953,0.013728,0.2661,0.02238,0.475128,0.06294,0,"pre-flooding"
"C","ctrl",155,18.0483333333333,0,0.46554,0,0.56304,0.08544,1.02858,0.42036,0,"pre-flooding"
"C","ctrl",155,20.6266666666667,0,0.603,0.1626,0.73014,0.108,1.49574,0.77388,0,"pre-flooding"
"C","ctrl",155,23.5083333333333,0,0.2586,0,0.27288,0.04968,0.53148,0.19878,0,"pre-flooding"
"C","ctrl",155,22.4466666666667,0,0.378,0.01734,0.47346,0.05622,0.8688,0.34524,0,"pre-flooding"
"C","ctrl",155,21.6883333333333,0,0.57462,0,0.66288,0.1128,1.2375,0.66456,0,"pre-flooding"
"C","ctrl",155,22.8258333333333,0,0.4551,0.04464,0.79332,0.09096,1.29306,0.58944,0,"pre-flooding"
"C","ctrl",155,15.47,0,0.23082,0,0.29478,0.06558,0.5256,0.19824,0,"pre-flooding"
"C","ctrl",155,23.3566666666667,0,0.2547,0,0.37914,0.04302,0.63384,0.1215,0,"pre-flooding"
"C","ctrl",155,27.6033333333333,0,0.48966,0,0.54996,0.07248,1.03962,0.2979,0,"pre-flooding"
"D","ctrl",155,30.6366666666667,0,0.41532,0,0.43566,0.07674,0.85098,0.29664,0,"pre-flooding"
"D","ctrl",155,29.575,0,0.41208,0,0.4551,0.06438,0.86718,0.1992,0,"pre-flooding"
"D","ctrl",155,38.2958333333333,0,0.44346,0,0.54726,0.0672,0.99072,0.28722,0,"pre-flooding"
"D","ctrl",155,26.0866666666667,0,0.31164,0,0.25854,0.06114,0.57018,0.2001,0,"pre-flooding"
"D","ctrl",155,29.8025,0,0.39144,0,0.53988,0.0942,0.93132,0.25062,0,"pre-flooding"
"D","ctrl",155,29.575,0,0.318,0,0.45438,0.05328,0.77238,0.18198,0,"pre-flooding"
"D","ctrl",155,27.0725,0,0.2184,0,0.22578,0.0384,0.44418,0.10866,0,"pre-flooding"
"D","ctrl",155,30.7883333333333,0,0.4047,0,0.44586,0.07428,0.85056,0.27426,0,"pre-flooding"
"D","ctrl",155,27.5275,0,0.31974,0,0.26286,0.05244,0.5826,0.20082,0,"pre-flooding"
"D","ctrl",155,31.3444444464667,0,0.3566000004,0,0.3546,0.0496400004,0.7112000004,0.1643199996,0,"pre-flooding"
"D","ctrl",155,31.6983333333333,0,0.32808,0,0.3582,0.07224,0.68628,0.21234,0,"pre-flooding"
"D","ctrl",155,33.8216666666667,0,0.50058,0,0.45282,0.0768,0.9534,0.26106,0,"pre-flooding"
"E","ctrl",155,20.6266666666667,0,0.2592,0,0.15624,0.618,0.41544,0.25488,0,"pre-flooding"
"E","ctrl",155,19.11,0,0.35808,0,0.19416,0.0624,0.55224,0.2754,0,"pre-flooding"
"E","ctrl",155,16.38,0,0.144,0,0.06564,0.02412,0.20964,0.07068,0,"pre-flooding"
"E","ctrl",155,25.48,0,0.31428,0.01392,0.22332,0.06936,0.55152,0.213,0,"pre-flooding"
"E","ctrl",155,24.8733333333333,0,0.46632,0,0.23676,0.08352,0.70308,0.21984,0,"pre-flooding"
"E","ctrl",155,22.9016666666667,0,0.66396,0,0.34872,0.05904,1.01268,0.26988,0,"pre-flooding"
"E","ctrl",155,17.29,0,0.32388,0,0.1086,0.05412,0.43248,0.12576,0,"pre-flooding"
"A","ctrl",194,51.2633333333333,0,1.06176,0,1.84524,0.1995,2.907,0.33198,0.04344,"flooding"
"A","ctrl",194,46.1066666666667,0,0.70932,0.05178,1.55814,0.23868,2.31924,0.402,0,"flooding"
"A","ctrl",194,56.875,0,0.66792,0.13698,1.92102,0.30522,2.72592,0.40452,0,"flooding"
"A","ctrl",194,42.9216666666667,0,1.2117,0.07428,2.12502,0.66954,3.411,0.78972,0,"flooding"
"A","ctrl",194,68.0983333333333,0,1.47552,0,2.75214,0.38934,4.22766,0.68736,0,"flooding"
"A","ctrl",194,59.9841666666667,0,1.06038,0.03372,2.0946,0.29148,3.1887,0.57726,0,"flooding"
"A","ctrl",194,72.7241666666667,0,1.1406,0.1104,2.46348,0.21936,3.71448,0.68322,0,"flooding"
"A","ctrl",194,54.8275,0,0.82398,0.08628,2.05008,0.27504,2.96034,0.43422,0.07848,"flooding"
"A","ctrl",194,42.3908333333333,0,0.6267,0,1.26852,0.2598,1.89522,0.39756,0,"flooding"
"A","ctrl",194,46.1066666666667,0,1.08402,0,2.0238,0.22662,3.10782,0.53184,0,"flooding"
"A","ctrl",194,56.2683333333333,0,1.25376,0,2.18718,0.30378,3.44094,0.55962,0.21048,"flooding"
"A","ctrl",194,47.4716666666667,0,1.29396,0,2.05794,0.28182,3.3519,0.73614,0,"flooding"
"B","ctrl",194,42.6183333333333,0.16716,1.1937,0.28536,2.9208,0.8202,4.56702,0.5808,0.36942,"flooding"
"B","ctrl",194,47.6233333333333,0.02208,1.72086,0.7059,3.74196,0.52356,6.1908,0.74148,0.30552,"flooding"
"B","ctrl",194,30.03,0,0.9972,0.28734,1.47696,0.32826,2.7615,0.30294,0.20328,"flooding"
"B","ctrl",194,32.9875,0,0.55056,0.19158,1.18116,0.20124,1.9233,0.22032,0.12408,"flooding"
"B","ctrl",194,37.0825,0,0.35226,0.16434,0.96582,0.2658,1.48242,0.36888,0.13512,"flooding"
"B","ctrl",194,36.7033333333333,0,2.35356,0.2598,2.85918,0.5571,5.47254,0.6627,0.34734,"flooding"
"B","ctrl",194,35.3383333333333,0,1.14594,0.21324,1.66308,0.24168,3.02226,0.26298,0.1902,"flooding"
"B","ctrl",194,37.31,0.01416,0.38628,0.2364,1.1694,0.20886,1.80624,0.36876,0.16146,"flooding"
"B","ctrl",194,43.8316666666667,0.0048,1.07406,0.2445,2.01084,0.15714,3.3342,0.4137,0.2478,"flooding"
"B","ctrl",194,38.22,0.0054,1.0923,0.5016,2.27346,0.34746,3.87276,0.55938,0.24564,"flooding"
"B","ctrl",194,39.6608333333333,0,0.9039,0.34812,1.77366,0.28308,3.02568,0.39174,0.17724,"flooding"
"B","ctrl",194,37.1583333333333,0,0.23316,0.0153,0.59178,0.10236,0.84024,0.28506,0.05256,"flooding"
"B","ctrl",194,38.9025,0.01872,1.08564,0.1134,2.01522,0.32736,3.23298,0.56514,0.26478,"flooding"
"C","ctrl",194,34.0491666666667,0,0.5727,0.1113,0.97668,0.14022,1.66068,0.5838,0.00702,"flooding"
"C","ctrl",194,46.41,0.02118,0.59982,0.08106,0.97692,0.12672,1.67898,0.48318,0,"flooding"
"C","ctrl",194,31.3191666666667,0,0.92142,0.18876,1.66458,0.16992,2.77476,0.67782,0,"flooding"
